DataZone,IncNumDep,EmpNumDep,HouseNumOC,EduNoQuals
S01008609,0.658570642,0.497979132,0.476941337,0.618080553
S01008610,0.54188258,0.423418785,0.390415989,0.722803347
S01008611,0.572575555,0.55088054,0.574987883,0.867763446
S01008612,0.689263617,0.653787415,0.610604434,0.855339163
S01008613,0.54188258,0.497979132,0.599618633,0.789478403
S01008614,0.504317414,0.55088054,0.611108354,0.844489252
S01008615,0.504317414,0.55088054,0.521618882,0.85853602
S01008616,0.387629352,0.29595703,0.502339778,0.903786848
S01008617,0.27094129,0.29595703,0.403444902,0.881373648
S01008618,0.27094129,0.29595703,0.474924793,0.882059152
S01008619,0.455887493,0.423418785,0.560007767,0.783292358
S01008620,0.387629352,0.29595703,0.536747791,0.861670798
S01008621,0.387629352,0.423418785,0.357732645,0.840998607
S01008622,0.27094129,0.29595703,0.34898171,0.709422294
S01008623,0.387629352,0.29595703,0.604979447,0.85932544
S01008624,0.640833695,0.423418785,0.601899668,0.599504221
S01008625,0.455887493,0.497979132,0.435995512,0.437176793
S01008626,0.504317414,0.497979132,0.436181157,0.668851098
S01008627,0,0.29595703,0.293070202,0.437176793
S01008628,0.572575555,0.55088054,0.560929767,0.690407872
S01008629,0.572575555,0.55088054,0.576977974,0.688149989
S01008630,0.455887493,0.423418785,0.534525531,0.696998012
S01008631,0.621005476,0.700001234,0.560457724,0.820321596
S01008632,0.70273843,0.827462989,0.864106386,0.745046597
S01008633,0.621005476,0.625440887,0.585899453,0.595517944
S01008634,0.387629352,0.497979132,0.430648132,0.720958344
S01008635,0.54188258,0.497979132,0.488899867,0.678788758
S01008636,0.455887493,0.423418785,0.515695681,0.767400587
S01008637,0.54188258,0.423418785,0.581457936,0.724627502
S01008638,0.737693538,0.55088054,0.658503374,0.822314658
S01008639,0.640833695,0.678342295,0.594930711,0.801181787
S01008640,0.455887493,0.423418785,0.491911127,0.79188794
S01008641,0.387629352,0.423418785,0.497626884,0.848749024
S01008642,0.504317414,0.423418785,0.447638804,0.819315761
S01008643,0.54188258,0.55088054,0.575464942,0.736850115
S01008644,0.689263617,0.625440887,0.568230675,0.80889692
S01008645,0.621005476,0.423418785,0.628264387,0.830049599
S01008646,0.621005476,0.59191406,0.652213986,0.811035177
S01008647,0.572575555,0.55088054,0.588825256,0.741817769
S01008648,0.598526095,0.625440887,0.772672798,0.806729961
S01008649,0.715214157,0.719375815,0.681460025,0.919715985
S01008650,0.658570642,0.736902255,0.70849271,0.915878616
S01008651,0.766623719,0.816952217,0.78932191,0.911947806
S01008652,0.737693538,0.816952217,0.818092776,0.896447584
S01008653,0.791303724,0.767621571,0.834294287,0.895820648
S01008654,0.747899408,0.855809517,0.739959941,0.950676903
S01008655,0.70273843,0.736902255,0.727230481,0.874353585
S01008656,0.791303724,0.855809517,0.835924164,0.926089286
S01008657,0.737693538,0.78124917,0.748527205,0.703329647
S01008658,0.825779898,0.880364397,0.802503292,0.887440851
S01008659,0.70273843,0.719375815,0.791170183,0.903187827
S01008660,0.54188258,0.625440887,0.664862792,0.90674906
S01008661,0.747899408,0.767621571,0.751938718,0.899546259
S01008662,0.640833695,0.700001234,0.783481864,0.809969589
S01008663,0.766623719,0.80580405,0.781642348,0.916432428
S01008664,0.658570642,0.700001234,0.683686169,0.824283414
S01008665,0.766623719,0.793936162,0.727085859,0.92240217
S01008666,0.504317414,0.497979132,0.502683738,0.896447584
S01008667,0.640833695,0.625440887,0.539407829,0.821321203
S01008668,0.54188258,0.55088054,0.634489811,0.839224568
S01008669,0.27094129,0.29595703,0.663618256,0.856144332
S01008670,0.54188258,0.497979132,0.652773333,0.897694201
S01008671,0.598526095,0.59191406,0.740240727,0.888758703
S01008672,0.54188258,0.55088054,0.702446131,0.85932544
S01008673,0.747899408,0.793936162,0.678116048,0.96964163
S01008674,0.70273843,0.752902642,0.747256727,0.911947806
S01008675,0.737693538,0.827462989,0.73193028,0.903786848
S01008676,0.658570642,0.700001234,0.652912619,0.764592934
S01008677,0.70273843,0.793936162,0.769206542,0.895191267
S01008678,0.766623719,0.827462989,0.758996429,0.893288266
S01008679,0.896103651,0.978840011,0.836192811,0.953777278
S01008680,0.674615661,0.700001234,0.82623374,0.869990185
S01008681,0.798786968,0.793936162,0.818349714,0.946601163
S01008682,0.715214157,0.752902642,0.764772461,0.897694201
S01008683,0.93284561,0.959963098,0.878340939,0.93569238
S01008684,0.887684632,0.908710925,0.891537098,0.871457795
S01008685,0.869467385,0.921397917,0.843642325,0.816260099
S01008686,0.87420982,0.880364397,0.842736396,0.876491842
S01008687,0.658570642,0.678342295,0.678382004,0.861670798
S01008688,0.757521757,0.767621571,0.72111571,0.839224568
S01008689,0.70273843,0.700001234,0.663475379,0.860892792
S01008690,0.715214157,0.700001234,0.699569843,0.849587654
S01008691,0.805951679,0.837405326,0.716485045,0.902586575
S01008692,0.726828782,0.78124917,0.773425577,0.81830362
S01008693,0.54188258,0.497979132,0.808241702,0.58723736
S01008694,0.658570642,0.678342295,0.740564537,0.845350246
S01008695,0.674615661,0.625440887,0.684170982,0.713359953
S01008696,0.54188258,0.423418785,0.661968916,0.599504221
S01008697,0.640833695,0.59191406,0.657698386,0.658261335
S01008698,0.640833695,0.497979132,0.679530289,0.532066721
S01008699,0.83190222,0.78124917,0.870740095,0.790687667
S01008700,0.387629352,0.423418785,0.751826028,0.549075701
S01008701,0.825779898,0.827462989,0.963014449,0.724627502
S01008702,0.783472298,0.736902255,0.878223912,0.865505563
S01008703,0.99551037,0.954924744,0.973943814,0.842753364
S01008704,0.859561864,0.827462989,0.943563772,0.775541942
S01008705,0.86458747,0.767621571,0.946416262,0.701246573
S01008706,0.674615661,0.625440887,0.985874451,0.785795292
S01008707,0.993219922,0.954924744,0.99088027,0.824283414
S01008708,0.960204907,0.974299325,0.957727558,0.794262042
S01008709,0.878822308,0.84683757,0.999999919,0.832857252
S01008710,0.971069663,0.915163813,0.954574341,0.789478403
S01008711,0.919095499,0.827462989,0.972904893,0.784548676
S01008712,0.999999844,0.991825765,0.983135105,0.86850911
S01008713,0.936114554,0.88787109,0.951114454,0.782026187
S01008714,0.805951679,0.816952217,0.909696276,0.722803347
S01008715,0.8543816,0.816952217,0.926983644,0.787032356
S01008716,0.819426492,0.736902255,0.924857679,0.701246573
S01008717,0.658570642,0.55088054,0.829476897,0.57396117
S01008718,0.621005476,0.55088054,0.847000287,0.688149989
S01008719,0.791303724,0.678342295,0.88147562,0.760287718
S01008720,0.70273843,0.678342295,0.889393216,0.717203849
S01008721,0.504317414,0.55088054,0.734014596,0.610904438
S01008722,0.726828782,0.678342295,0.723011543,0.631541347
S01008723,0.455887493,0.55088054,0.701043327,0.618080553
S01008724,0.674615661,0.59191406,0.723308978,0.640948046
S01008725,0.640833695,0.653787415,0.728003285,0.676361104
S01008726,0.27094129,0.29595703,0.51174682,0.335696725
S01008727,0.674615661,0.653787415,0.678621743,0.688149989
S01008728,0.783472298,0.719375815,0.837078455,0.751316744
S01008729,0.54188258,0.423418785,0.606641665,0.655501679
S01008730,0.783472298,0.736902255,0.755273349,0.80889692
S01008731,0.674615661,0.59191406,0.837371577,0.685860079
S01008732,0.783472298,0.78124917,0.819330211,0.825258861
S01008733,0.689263617,0.736902255,0.819001699,0.853716677
S01008734,0.621005476,0.59191406,0.727987894,0.618080553
S01008735,0.504317414,0.55088054,0.699398564,0.578508964
S01008736,0.658570642,0.59191406,0.789163456,0.610904438
S01008737,0.504317414,0.497979132,0.693867751,0.643965629
S01008738,0.54188258,0.423418785,0.739086816,0.537937768
S01008739,0.640833695,0.59191406,0.742609117,0.67139345
S01008740,0.504317414,0.423418785,0.789751145,0.58723736
S01008741,0.572575555,0.55088054,0.7599726,0.699136268
S01008742,0.658570642,0.55088054,0.801733409,0.532066721
S01008743,0.849036857,0.752902642,0.863650512,0.812093777
S01008744,0.825779898,0.752902642,0.83418797,0.821321203
S01008745,0.504317414,0.497979132,0.738198969,0.599504221
S01008746,0.911774985,0.895083326,0.898424613,0.869990185
S01008747,0.504317414,0.423418785,0.712548388,0.532066721
S01008748,0.54188258,0.423418785,0.701048523,0.559494542
S01008749,0.640833695,0.59191406,0.777422297,0.681180447
S01008750,0.54188258,0.55088054,0.744287962,0.569281538
S01008751,0.798786968,0.736902255,0.853609197,0.663643034
S01008752,0.929511931,0.915163813,0.94551276,0.770160244
S01008753,0.825779898,0.793936162,0.925187278,0.758826749
S01008754,0.726828782,0.719375815,0.891251287,0.663643034
S01008755,0.86458747,0.855809517,0.898892165,0.869251346
S01008756,0.843516844,0.855809517,0.925757872,0.821321203
S01008757,0.929511931,0.915163813,0.961739955,0.805635476
S01008758,0.907991786,0.872538176,0.922193574,0.816260099
S01008759,0.86458747,0.837405326,0.938476532,0.788260012
S01008760,0.973679719,0.983271272,0.953985979,0.833782389
S01008761,0.674615661,0.700001234,0.888908805,0.806729961
S01008762,0.572575555,0.55088054,0.84227042,0.699136268
S01008763,0.621005476,0.55088054,0.693424275,0.746637112
S01008764,0.658570642,0.653787415,0.754094881,0.676361104
S01008765,0.658570642,0.736902255,0.718171319,0.733451337
S01008766,0.747899408,0.700001234,0.783742685,0.707416853
S01008767,0.715214157,0.653787415,0.757470478,0.720958344
S01008768,0.658570642,0.719375815,0.829646811,0.764592934
S01008769,0.791303724,0.78124917,0.507665381,0.843623641
S01008770,0.737693538,0.678342295,0.630345963,0.915878616
S01008771,0.726828782,0.719375815,0.74872727,0.760287718
S01008772,0.658570642,0.59191406,0.712939849,0.738523042
S01008773,0.812823869,0.84683757,0.78067874,0.890715527
S01008774,0.86458747,0.908710925,0.816116989,0.867763446
S01008775,0.674615661,0.678342295,0.692543081,0.683537218
S01008776,0.891946766,0.915163813,0.84126557,0.878602146
S01008777,0.948590282,0.995958264,0.915063233,0.85932544
S01008778,0.812823869,0.855809517,0.70339863,0.893288266
S01008779,0.54188258,0.625440887,0.673721913,0.733451337
S01008780,0.689263617,0.700001234,0.722968197,0.783292358
S01008781,0.812823869,0.84683757,0.773463624,0.907335035
S01008782,0.791303724,0.78124917,0.745475563,0.823302037
S01008783,0.640833695,0.625440887,0.666900491,0.715293341
S01008784,0.54188258,0.55088054,0.731098263,0.728215116
S01008785,0.911774985,0.908710925,0.898079174,0.850421951
S01008786,0.783472298,0.837405326,0.728243191,0.875782232
S01008787,0.825779898,0.872538176,0.979527989,0.720958344
S01008788,0.689263617,0.678342295,0.713853398,0.884098371
S01008789,0.859561864,0.78124917,0.838127317,0.809969589
S01008790,0.819426492,0.84683757,0.863989425,0.803423989
S01008791,0.791303724,0.700001234,0.80441986,0.879993845
S01008792,0.791303724,0.793936162,0.784392084,0.81830362
S01008793,0.747899408,0.767621571,0.855002793,0.82815033
S01008794,0.843516844,0.767621571,0.83000544,0.849587654
S01008795,0.737693538,0.78124917,0.720657811,0.929694068
S01008796,0.812823869,0.816952217,0.876780203,0.937643292
S01008797,0.766623719,0.767621571,0.767682469,0.90015892
S01008798,0.766623719,0.78124917,0.838833341,0.85853602
S01008799,0.70273843,0.678342295,0.862807926,0.93715777
S01008800,0.737693538,0.767621571,0.682610979,1.00000003
S01008801,0.726828782,0.767621571,0.814653183,0.902586575
S01008802,0.805951679,0.827462989,0.804202393,0.948425318
S01008803,0.825779898,0.855809517,0.820637911,0.938127358
S01008804,0.757521757,0.736902255,0.807424427,0.877901772
S01008805,0.598526095,0.59191406,0.656063268,0.755864538
